Variable,Categoría,Comuna,Valor
¿Cuál es el nivel educativo más alto alcanzado?,Universitario,Comuna 01,7112
Parentesco con el jefe del hogar,"Hijo(a), Hijastro(a)",Comuna 01,10523
Parentesco con el jefe del hogar,Jefe(a) del hogar,Comuna 01,12769
Parentesco con el jefe del hogar,Otros NO parientes,Comuna 01,557
Parentesco con el jefe del hogar,Otros Parientes,Comuna 01,4849
Parentesco con el jefe del hogar,"Pareja (Conyuge, compañero(a), esposo(a))",Comuna 01,6105
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a la entidad de seguridad social en salud de la cual es filiado(a)?,Comuna 01,3308
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a otro médico de un grupo étnico? (curandero, yerbatero, etc.)",Comuna 01,2
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un boticario, farmacéuta, droguista?",Comuna 01,64
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un médico particular? (general, especialista, odontólogo, terapeuta u otro)",Comuna 01,338
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a una autoridad indígena espiritual?,Comuna 01,0
"Para tratar ese problema de salud, ¿qué hizo principalmente","Asistió a terapias alternativas? (acupuntura, esencias florales, musicoterapias, homeópata, etc.)",Comuna 01,2
"Para tratar ese problema de salud, ¿qué hizo principalmente",No Informa,Comuna 01,5
"Para tratar ese problema de salud, ¿qué hizo principalmente",No hizo nada,Comuna 01,78
"Para tratar ese problema de salud, ¿qué hizo principalmente",Se autorrecetó,Comuna 01,72
"Para tratar ese problema de salud, ¿qué hizo principalmente",Usó remedios caseros?,Comuna 01,188
¿Cual es el sexo de...?,Hombre,Comuna 01,15880
¿Cual es el sexo de...?,Mujer,Comuna 01,18923
¿Actividad durante la semana pasada . . . :?,Busco trabajo?,Comuna 01,1146
¿Actividad durante la semana pasada . . . :?,Estudió?,Comuna 01,5080
¿Actividad durante la semana pasada . . . :?,Estuvo en otra situación?,Comuna 01,1671
¿Actividad durante la semana pasada . . . :?,Está incapacitado(a) permanentemente para trabajar?,Comuna 01,301
¿Actividad durante la semana pasada . . . :?,No Informa,Comuna 01,836
¿Actividad durante la semana pasada . . . :?,"No trabajó, pero tenía un empleo, trabajo o negocio por el que recibe ingresos?",Comuna 01,768
¿Actividad durante la semana pasada . . . :?,Realizó oficios del hogar?,Comuna 01,4859
¿Actividad durante la semana pasada . . . :?,Trabajó o ayudó en un negocio por lo menos una hora sin que le pagaran?,Comuna 01,208
¿Actividad durante la semana pasada . . . :?,Trabajó por lo menos una hora en una actividad que le generó algún ingreso?,Comuna 01,13886
¿Actividad durante la semana pasada . . . :?,"Vivió de jubilación, pensión o renta?",Comuna 01,3152
Uso de la Unidad (Espacio independiente y separado),Lugar Especial de Alojamiento - LEA,Comuna 01,0
Uso de la Unidad (Espacio independiente y separado),Mixto (Espacio independiente y separado que combina vivienda con otro uso no residencial),Comuna 01,376
Uso de la Unidad (Espacio independiente y separado),Vivienda,Comuna 01,34427
Estrato de esta vivienda,Estrato 1,Comuna 01,2328
Estrato de esta vivienda,Estrato 2,Comuna 01,7092
Estrato de esta vivienda,Estrato 3,Comuna 01,5538
Estrato de esta vivienda,Estrato 4,Comuna 01,18347
Estrato de esta vivienda,Estrato 5,Comuna 01,673
Estrato de esta vivienda,Estrato 6,Comuna 01,736
Estrato de esta vivienda,No sabe el estrato,Comuna 01,32
Estrato de esta vivienda,Sin estrato,Comuna 01,12
La vivienda cuenta con servicio de Energía Eléctrica,No,Comuna 01,45
La vivienda cuenta con servicio de Energía Eléctrica,Si,Comuna 01,34758
La vivienda cuenta con servicios de Acueducto?,No,Comuna 01,156
La vivienda cuenta con servicios de Acueducto?,Si,Comuna 01,34647
La vivienda cuenta con servicio de Alcantarillado?,No,Comuna 01,353
La vivienda cuenta con servicio de Alcantarillado?,Si,Comuna 01,34450
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No,Comuna 01,4184
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No informa,Comuna 01,466
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,Si,Comuna 01,30153
¿Cuántas veces por semana?,1 vez,Comuna 01,198
¿Cuántas veces por semana?,2 veces,Comuna 01,33001
¿Cuántas veces por semana?,3 veces,Comuna 01,763
¿Cuántas veces por semana?,4 veces,Comuna 01,69
¿Cuántas veces por semana?,5 veces,Comuna 01,38
¿Cuántas veces por semana?,6 veces,Comuna 01,38
¿Cuántas veces por semana?,7 veces,Comuna 01,111
¿Cuántas veces por semana?,Mayor periodicidad,Comuna 01,35
¿Cuántas veces por semana?,No sabe,Comuna 01,171
La vivienda cuenta con servicio de Recolección de basuras?,No,Comuna 01,379
La vivienda cuenta con servicio de Recolección de basuras?,Si,Comuna 01,34424
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No,Comuna 01,6842
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No informa,Comuna 01,461
La vivienda cuenta con servicio de internet (Fijo o Movil)?,Si,Comuna 01,27500
Condición de ocupación de la Vivienda,Ocupada con personas presentes,Comuna 01,34803
Material predominante de las paredes exteriores de la vivienda,"Bloque, ladrillo, piedra, madera pulida",Comuna 01,26251
Material predominante de las paredes exteriores de la vivienda,"Caña, esterilla, otros vegetales",Comuna 01,229
Material predominante de las paredes exteriores de la vivienda,Concreto vaciado,Comuna 01,6833
Material predominante de las paredes exteriores de la vivienda,Guadua,Comuna 01,140
Material predominante de las paredes exteriores de la vivienda,"Madera burda, tabla, tablon",Comuna 01,233
Material predominante de las paredes exteriores de la vivienda,Material prefabricado,Comuna 01,234
Material predominante de las paredes exteriores de la vivienda,"Materiales de deshecho (Zinc, tela, carton, latas, plásticos, otros)",Comuna 01,25
Material predominante de las paredes exteriores de la vivienda,No tiene paredes,Comuna 01,0
Material predominante de las paredes exteriores de la vivienda,"Tapia pisada, bahareque, adobe",Comuna 01,858
Material predominante de los pisos de esta vivienda,"Baldosa, vinilo, tableta, ladrillo, laminado",Comuna 01,28373
Material predominante de los pisos de esta vivienda,"Cemento, gravilla",Comuna 01,1282
Material predominante de los pisos de esta vivienda,"Madera burda, tabla, tablon, otro vegetal",Comuna 01,1979
Material predominante de los pisos de esta vivienda,"Marmol, parque, madera pulida y lacada",Comuna 01,2912
Material predominante de los pisos de esta vivienda,"Tierra, arena, barro",Comuna 01,23
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Esta vivienda No tiene servicio sanitario?,Comuna 01,35
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro con descarga directa a fuentes de agua (bajamar)?,Comuna 01,115
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado a pozo séptico?,Comuna 01,387
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro conectado al alcantarillado?,Comuna 01,33768
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Inodoro sin conexión?,Comuna 01,55
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,Letrina?,Comuna 01,0
¿Qué tipo de servicio sanitario (inodoro) tiene esta vivienda:,No informa,Comuna 01,443
Tipo vivienda,Apartamento,Comuna 01,18217
Tipo vivienda,Casa,Comuna 01,16473
Tipo vivienda,"Otro (Contenedor, carpa, embarcación, vagon, cueva, refugio natural, etc",Comuna 01,11
Tipo vivienda,Tipo cuarto,Comuna 01,102
Tipo vivienda,Vivienda tradicional Indígena,Comuna 01,0
Tipo vivienda,"Vivienda tradicional Étnica (Afrocolombiana, Isleña, Rrom)",Comuna 01,0
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",No,Comuna 02,9342
"¿En su vida diaria tiene dificultades para: Oir,hablar,ver,moverse,caminar, agar",Sí,Comuna 02,1075
Fuente para preparar los alimentos,Acueducto público?,Comuna 02,9900
Fuente para preparar los alimentos,Acueducto veredal?,Comuna 02,31
Fuente para preparar los alimentos,Agua embotellada o en bolsa?,Comuna 02,7
Fuente para preparar los alimentos,Agua lluvia?,Comuna 02,39
Fuente para preparar los alimentos,Aguatero?,Comuna 02,18
Fuente para preparar los alimentos,Carrotanque?,Comuna 02,8
Fuente para preparar los alimentos,No informa,Comuna 02,38
Fuente para preparar los alimentos,Pila pública?,Comuna 02,3
Fuente para preparar los alimentos,Pozo con bomba?,Comuna 02,3
Fuente para preparar los alimentos,"Pozo sin bomba, aljibe, jaguey o barreno?",Comuna 02,8
Fuente para preparar los alimentos,Red de distribución comunitaria?,Comuna 02,80
Fuente para preparar los alimentos,"RÍo, quebrada, manantial, nacimiento?",Comuna 02,57
Lugar donde preparan los alimentos,En un cuarto usado solo para cocinar?,Comuna 02,9562
Lugar donde preparan los alimentos,En un cuarto usado también para dormir?,Comuna 02,193
Lugar donde preparan los alimentos,"En un patio, corredor, enramada o al aire libre?",Comuna 02,52
Lugar donde preparan los alimentos,En una sala-comedor con lavaplatos?,Comuna 02,335
Lugar donde preparan los alimentos,En una sala-comedor sin lavaplatos?,Comuna 02,17
Lugar donde preparan los alimentos,No informa,Comuna 02,33
Lugar donde preparan los alimentos,No preparan alimentos en la vivienda?,Comuna 02,225
¿En general considera que la calidad de la prestación del servicio de salud reci,Bueno,Comuna 02,700
¿En general considera que la calidad de la prestación del servicio de salud reci,Malo,Comuna 02,187
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy Malo,Comuna 02,87
¿En general considera que la calidad de la prestación del servicio de salud reci,Muy bueno,Comuna 02,208
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No,Comuna 02,7541
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",No informa,Comuna 02,148
"¿Actualmente asiste a algún preescolar, escuela, colegio o universidad, de forma",Sí,Comuna 02,2151
Ha tenido algún hijo(a) nacido vivo(a),No,Comuna 02,1441
Ha tenido algún hijo(a) nacido vivo(a),No informa,Comuna 02,121
Ha tenido algún hijo(a) nacido vivo(a),Sí,Comuna 02,3183
¿Lo atendieron?,No,Comuna 02,52
¿Lo atendieron?,No informa,Comuna 02,0
¿Lo atendieron?,Sí,Comuna 02,1182
¿Donde nacio?,En este mpio,Comuna 02,7078
¿Donde nacio?,En otro mpio Colombiano,Comuna 02,3107
¿Donde nacio?,En otro país,Comuna 02,90
¿Donde nacio?,No Informa,Comuna 02,142
¿En donde vivía hace 12 meses ?,En este mpio,Comuna 02,10010
¿En donde vivía hace 12 meses ?,En otro mpio colombiano,Comuna 02,114
¿En donde vivía hace 12 meses ?,En otro país,Comuna 02,56
¿En donde vivía hace 12 meses ?,No Informa,Comuna 02,144
¿En donde vivía hace 12 meses ?,No había nacido,Comuna 02,93
¿En donde vivía hace 5 años ?,En este mpio,Comuna 02,9204
¿En donde vivía hace 5 años ?,En otro mpio Colombiano,Comuna 02,394
¿En donde vivía hace 5 años ?,En otro país,Comuna 02,97
¿En donde vivía hace 5 años ?,No Informa,Comuna 02,153
¿En donde vivía hace 5 años ?,No había nacido,Comuna 02,569
¿Sabe leer y escribir?,No,Comuna 02,629
¿Sabe leer y escribir?,No informa,Comuna 02,148
¿Sabe leer y escribir?,Sí,Comuna 02,9063
¿Cuantos años cumplidos tiene?,de 00 A 04 Años,Comuna 02,577
¿Cuantos años cumplidos tiene?,de 05 A 09 Años,Comuna 02,636
¿Cuantos años cumplidos tiene?,de 10 A 14 Años,Comuna 02,744
¿Cuantos años cumplidos tiene?,de 100 y más Años,Comuna 02,2
¿Cuantos años cumplidos tiene?,de 15 A 19 Años,Comuna 02,841
¿Cuantos años cumplidos tiene?,de 20 A 24 Años,Comuna 02,923
¿Cuantos años cumplidos tiene?,de 25 A 29 Años,Comuna 02,888
¿Cuantos años cumplidos tiene?,de 30 A 34 Años,Comuna 02,778
¿Cuantos años cumplidos tiene?,de 35 A 39 Años,Comuna 02,668
¿Cuantos años cumplidos tiene?,de 40 A 44 Años,Comuna 02,600
¿Cuantos años cumplidos tiene?,de 45 A 49 Años,Comuna 02,614
¿Cuantos años cumplidos tiene?,de 50 A 54 Años,Comuna 02,688
¿Cuantos años cumplidos tiene?,de 55 A 59 Años,Comuna 02,637
¿Cuantos años cumplidos tiene?,de 60 A 64 Años,Comuna 02,529
¿Cuantos años cumplidos tiene?,de 65 A 69 Años,Comuna 02,458
¿Cuantos años cumplidos tiene?,de 70 A 74 Años,Comuna 02,332
¿Cuantos años cumplidos tiene?,de 75 A 79 Años,Comuna 02,248
¿Cuantos años cumplidos tiene?,de 80 A 84 Años,Comuna 02,140
¿Cuantos años cumplidos tiene?,de 85 A 89 Años,Comuna 02,75
¿Cuantos años cumplidos tiene?,de 90 A 94 Años,Comuna 02,28
¿Cuantos años cumplidos tiene?,de 95 A 99 Años,Comuna 02,11
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No,Comuna 02,8773
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",No informa,Comuna 02,143
"¿En los últimos 30 días, tuvo alguna enfermedad, accidente, problema odontológic",Sí,Comuna 02,1501
"Actualmente, ¿Su estado civil es?",Casado(a)?,Comuna 02,1273
"Actualmente, ¿Su estado civil es?",Divorciado(a)?,Comuna 02,51
"Actualmente, ¿Su estado civil es?",No Informa,Comuna 02,139
"Actualmente, ¿Su estado civil es?",Separado(a) de matrimonio?,Comuna 02,312
"Actualmente, ¿Su estado civil es?",Separado(a) de unión libre?,Comuna 02,583
"Actualmente, ¿Su estado civil es?","Soltero(a)?(Nunca se ha casado, ni ha vivido en unión libre)",Comuna 02,3988
"Actualmente, ¿Su estado civil es?",Unión libre?,Comuna 02,2377
"Actualmente, ¿Su estado civil es?",Viudo(a)?,Comuna 02,481
¿Cuál es el nivel educativo más alto alcanzado?,Básica primaria,Comuna 02,3555
¿Cuál es el nivel educativo más alto alcanzado?,Básica secundaria,Comuna 02,2084
Material predominante de los pisos de esta vivienda,Alfombra,Comuna 02,23
¿Cuál es el nivel educativo más alto alcanzado?,"Especialización, maestría, doctorado",Comuna 02,62
¿Cuál es el nivel educativo más alto alcanzado?,Media academica o clasica,Comuna 02,2263
¿Cuál es el nivel educativo más alto alcanzado?,Media tecnica,Comuna 02,67
¿Cuál es el nivel educativo más alto alcanzado?,Ninguno,Comuna 02,417
¿Cuál es el nivel educativo más alto alcanzado?,No informa,Comuna 02,158
¿Cuál es el nivel educativo más alto alcanzado?,Normalista,Comuna 02,20
¿Cuál es el nivel educativo más alto alcanzado?,Preescolar,Comuna 02,199
¿Cuál es el nivel educativo más alto alcanzado?,Técnica profesional o Tecnológica,Comuna 02,572
¿Cuál es el nivel educativo más alto alcanzado?,Universitario,Comuna 02,443
Parentesco con el jefe del hogar,"Hijo(a), Hijastro(a)",Comuna 02,3370
Parentesco con el jefe del hogar,Jefe(a) del hogar,Comuna 02,3606
Parentesco con el jefe del hogar,Otros NO parientes,Comuna 02,190
Parentesco con el jefe del hogar,Otros Parientes,Comuna 02,1733
Parentesco con el jefe del hogar,"Pareja (Conyuge, compañero(a), esposo(a))",Comuna 02,1518
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a la entidad de seguridad social en salud de la cual es filiado(a)?,Comuna 02,1234
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a otro médico de un grupo étnico? (curandero, yerbatero, etc.)",Comuna 02,1
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un boticario, farmacéuta, droguista?",Comuna 02,43
"Para tratar ese problema de salud, ¿qué hizo principalmente","Acudió a un médico particular? (general, especialista, odontólogo, terapeuta u otro)",Comuna 02,28
"Para tratar ese problema de salud, ¿qué hizo principalmente",Acudió a una autoridad indígena espiritual?,Comuna 02,0
"Para tratar ese problema de salud, ¿qué hizo principalmente","Asistió a terapias alternativas? (acupuntura, esencias florales, musicoterapias, homeópata, etc.)",Comuna 02,3
"Para tratar ese problema de salud, ¿qué hizo principalmente",No Informa,Comuna 02,0
"Para tratar ese problema de salud, ¿qué hizo principalmente",No hizo nada,Comuna 02,48
"Para tratar ese problema de salud, ¿qué hizo principalmente",Se autorrecetó,Comuna 02,64
"Para tratar ese problema de salud, ¿qué hizo principalmente",Usó remedios caseros?,Comuna 02,80
¿Cual es el sexo de...?,Hombre,Comuna 02,5061
¿Cual es el sexo de...?,Mujer,Comuna 02,5356
¿Actividad durante la semana pasada . . . :?,Busco trabajo?,Comuna 02,545
¿Actividad durante la semana pasada . . . :?,Estudió?,Comuna 02,1358
¿Actividad durante la semana pasada . . . :?,Estuvo en otra situación?,Comuna 02,587
¿Actividad durante la semana pasada . . . :?,Está incapacitado(a) permanentemente para trabajar?,Comuna 02,137
¿Actividad durante la semana pasada . . . :?,No Informa,Comuna 02,213
¿Actividad durante la semana pasada . . . :?,"No trabajó, pero tenía un empleo, trabajo o negocio por el que recibe ingresos?",Comuna 02,158
¿Actividad durante la semana pasada . . . :?,Realizó oficios del hogar?,Comuna 02,1758
¿Actividad durante la semana pasada . . . :?,Trabajó o ayudó en un negocio por lo menos una hora sin que le pagaran?,Comuna 02,76
¿Actividad durante la semana pasada . . . :?,Trabajó por lo menos una hora en una actividad que le generó algún ingreso?,Comuna 02,4048
¿Actividad durante la semana pasada . . . :?,"Vivió de jubilación, pensión o renta?",Comuna 02,324
Uso de la Unidad (Espacio independiente y separado),Lugar Especial de Alojamiento - LEA,Comuna 02,0
Uso de la Unidad (Espacio independiente y separado),Mixto (Espacio independiente y separado que combina vivienda con otro uso no residencial),Comuna 02,100
Uso de la Unidad (Espacio independiente y separado),Vivienda,Comuna 02,10317
Estrato de esta vivienda,Estrato 1,Comuna 02,4587
Estrato de esta vivienda,Estrato 2,Comuna 02,2878
Estrato de esta vivienda,Estrato 3,Comuna 02,2702
Estrato de esta vivienda,Estrato 4,Comuna 02,148
Estrato de esta vivienda,Estrato 5,Comuna 02,13
Estrato de esta vivienda,Estrato 6,Comuna 02,12
Estrato de esta vivienda,No sabe el estrato,Comuna 02,1
Estrato de esta vivienda,Sin estrato,Comuna 02,17
La vivienda cuenta con servicio de Energía Eléctrica,No,Comuna 02,59
La vivienda cuenta con servicio de Energía Eléctrica,Si,Comuna 02,10358
La vivienda cuenta con servicios de Acueducto?,No,Comuna 02,206
La vivienda cuenta con servicios de Acueducto?,Si,Comuna 02,10211
La vivienda cuenta con servicio de Alcantarillado?,No,Comuna 02,250
La vivienda cuenta con servicio de Alcantarillado?,Si,Comuna 02,10167
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No,Comuna 02,7059
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,No informa,Comuna 02,33
La vivienda cuenta con servicio de Gas Natural conectado a red pública?,Si,Comuna 02,3325
¿Cuántas veces por semana?,1 vez,Comuna 02,127
¿Cuántas veces por semana?,2 veces,Comuna 02,9541
¿Cuántas veces por semana?,3 veces,Comuna 02,222
¿Cuántas veces por semana?,4 veces,Comuna 02,0
¿Cuántas veces por semana?,5 veces,Comuna 02,14
¿Cuántas veces por semana?,6 veces,Comuna 02,4
¿Cuántas veces por semana?,7 veces,Comuna 02,65
¿Cuántas veces por semana?,Mayor periodicidad,Comuna 02,7
¿Cuántas veces por semana?,No sabe,Comuna 02,10
La vivienda cuenta con servicio de Recolección de basuras?,No,Comuna 02,427
La vivienda cuenta con servicio de Recolección de basuras?,Si,Comuna 02,9990
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No,Comuna 02,6365
La vivienda cuenta con servicio de internet (Fijo o Movil)?,No informa,Comuna 02,33
La vivienda cuenta con servicio de internet (Fijo o Movil)?,Si,Comuna 02,4019
Condición de ocupación de la Vivienda,Ocupada con personas presentes,Comuna 02,10417
Material predominante de las paredes exteriores de la vivienda,"Bloque, ladrillo, piedra, madera pulida",Comuna 02,4675
Material predominante de las paredes exteriores de la vivienda,"Caña, esterilla, otros vegetales",Comuna 02,689
Material predominante de las paredes exteriores de la vivienda,Concreto vaciado,Comuna 02,798
Material predominante de las paredes exteriores de la vivienda,Guadua,Comuna 02,184
Material predominante de las paredes exteriores de la vivienda,"Madera burda, tabla, tablon",Comuna 02,410
Material predominante de las paredes exteriores de la vivienda,Material prefabricado,Comuna 02,162
Material predominante de las paredes exteriores de la vivienda,"Materiales de deshecho (Zinc, tela, carton, latas, plásticos, otros)",Comuna 02,18
Material predominante de las paredes exteriores de la vivienda,No tiene paredes,Comuna 02,0
Material predominante de las paredes exteriores de la vivienda,"Tapia pisada, bahareque, adobe",Comuna 02,3481
Material predominante de los pisos de esta vivienda,"Baldosa, vinilo, tableta, ladrillo, laminado",Comuna 02,3601
Material predominante de los pisos de esta vivienda,"Cemento, gravilla",Comuna 02,996
